Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,OrigTeamName
13,,Open,1600 Meter Run,Event 1,5:28.90,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Jessica Mclean,1,Edwin Allen High,,Edwin Allen
15,,Open,1600 Meter Run,Event 1,5:30.50,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Cemore Donald,2,Edwin Allen High,,Edwin Allen
17,,Open,1600 Meter Run,Event 1,5:30.90,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Kara Grant,3,Edwin Allen High,,Edwin Allen
18,,Open,1600 Meter Run,Event 1,5:31.60,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Asshanni Robb,4,Edwin Allen High,,Edwin Allen
14,,Open,1600 Meter Run,Event 1,5:33.50,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Kayon Green,5,Edwin Allen High,,Edwin Allen
18,,Open,1600 Meter Run,Event 1,5:33.90,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Vonessa Mcgrowder,6,Edwin Allen High,,Edwin Allen
15,,Open,1600 Meter Run,Event 1,5:35.60,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Anna-Lee Evans,7,Edwin Allen High,,Edwin Allen
13,,Open,1600 Meter Run,Event 1,5:35.90,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Samantha Pryce,8,Holmwood Technical High,,Holmwood Tec
13,,Open,1600 Meter Run,Event 1,5:38.90,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Rushana Dwyer,9,Edwin Allen High,,Edwin Allen
15,,Open,1600 Meter Run,Event 1,5:42.20,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Shaneeka Reid,10,Holmwood Technical High,,Holmwood Tec
16,,Open,1600 Meter Run,Event 1,5:43.80,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Jeima Davis,11,Edwin Allen High,,Edwin Allen
15,,Open,1600 Meter Run,Event 1,5:44.20,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Aneisha Ingram,12,Edwin Allen High,,Edwin Allen
